bank,filename,date_dt,chron_order_in_country,rate_curr,rate_next,rate_change,urate,pce_inf,effective_ffr,sentence
usfed,C:/Modeling/ETA/USA/html/20040630.htm,6/30/04,18,1.25,1.5,1,5.6,2.10885,1.380,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 1-1/4 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. the evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace and labor market conditions have improved. although incoming inflation data are somewhat elevated a portion of the increase in recent months appears to have been due to transitory factors. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters are roughly equal. with underlying inflation still expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation tomaintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors approved a 25 basis point increase in the discount rate to 2-1/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20040810.htm,8/10/04,19,1.5,1.75,1,5.4,1.90017,1.550,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 1-1/2 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. in recent months output growth has moderated and the pace of improvement in labor market conditions has slowed. this softness likely owes importantly to the substantial rise in energy prices. the economy nevertheless appears poised to resume a stronger pace of expansion going forward. inflation has been somewhat elevated this year though a portion of the rise in prices seems to reflect transitory factors. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters are roughly equal. with underlying inflation still expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25 basis point increase in the discount rate to 2-1/2 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20040921.htm,9/21/04,20,1.75,2,1,5.4,1.94801,1.940,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 1-3/4 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. after moderating earlier this year partly in response to the substantial rise in energy prices output growth appears to have regained some traction and labor market conditions have improved modestly. despite the rise in energy prices inflation and inflation expectations have eased in recent months. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. with underlying inflation expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25 basis point increase in the discount rate to 2-3/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20041110.htm,11/10/04,21,2,2.25,1,5.4,2.06234,2.020,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 2 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. output appears to be growing at a moderate pace despite the rise in energy prices and labor market conditions have improved. inflation and longer-term inflation expectations remain well contained. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. with underlying inflation expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25 basis point increase in the discount rate to 3 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis and kansas city.
usfed,C:/Modeling/ETA/USA/html/20041214.htm,12/14/04,22,2.25,2.5,1,5.4,2.0656,1.970,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 2-1/4 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. output appears to be growing at a moderate pace despite the earlier rise in energy prices and labor market conditions continue to improve gradually. inflation and longer-term inflation expectations remain well contained. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. with underlying inflation expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25 basis point increase in the discount rate to 3-1/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco. in addition the committee unanimously decided to expedite the release of its minutes. beginning with this meeting the minutes of regularly scheduled meetings will be released three weeks after the date of the policy decision. the first set of expedited minutes will be released at 2 p.m.
usfed,C:/Modeling/ETA/USA/html/20050202.htm,2/2/05,23,2.5,2.75,1,5.4,2.17457,2.520,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 2-1/2 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. output appears to be growing at a moderate pace despite the rise in energy prices and labor market conditions continue to improve gradually. inflation and longer-term inflation expectations remain well contained. the committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. with underlying inflation expected to be relatively low the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 3-1/2 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20050322.htm,3/22/05,24,2.75,3,1,5.2,2.25577,2.960,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 2-3/4 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. output evidently continues to grow at a solid pace despite the rise in energy prices and labor market conditions continue to improve gradually. though longer-term inflation expectations remain well contained pressures on inflation have picked up in recent months and pricing power is evident. the rise in energy prices however has not notably fed through to core consumer prices. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman;timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 3-3/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis and san francisco.
usfed,C:/Modeling/ETA/USA/html/20050503.htm,5/3/05,25,3,3.25,1,5.1,2.17739,3.090,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 3 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. recent data suggest that the solid pace of spending growth has slowed somewhat partly in response to the earlier increases in energy prices. labor market conditions however apparently continue to improve gradually. pressures on inflation have picked up in recent months and pricing power is evident. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman;timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20050630.htm,6/30/05,26,3.25,3.5,1,5,2.0861,3.350,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. although energy prices have risen further the expansion remains firm and labor market conditions continue to improve gradually. pressures on inflation have stayed elevated but longer-term inflation expectations remain well contained. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman;timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 4-1/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20050809.htm,8/9/05,27,3.5,3.75,1,4.9,2.15899,3.630,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent. the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity. aggregate spending despite high energy prices appears to have strengthened since late winter and labor market conditions continue to improve gradually. core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained but pressures on inflation have stayed elevated. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman;timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 4-1/2 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20050920.htm,9/20/05,28,3.75,4,1,5,2.19412,3.930,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 3-3/4 percent. output appeared poised to continue growing at a good pace before the tragic toll of hurricane katrina. the widespread devastation in the gulf region the associated dislocation of economic activity and the boost to energy prices imply that spending production and employment will be set back in the near term. in addition to elevating premiums for some energy products the disruption to the production and refining infrastructure may add to energy price volatility. while these unfortunate developments have increased uncertainty about near-term economic performance it is the committee's view that they do not pose a persistent threat. rather monetary policy accommodation coupled with robust underlying growth in productivity is providing ongoing support to economic activity. higher energy and other costs have the potential to add to inflation pressures. however core inflation has been relatively low in recent months and longer-term inflation expectations remain contained. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. olson who preferred no change in the federal funds rate target at this meeting. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 4-3/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia richmond chicago minneapolis and kansas city.
usfed,C:/Modeling/ETA/USA/html/20051101.htm,11/1/05,29,4,4.25,1,5,2.30622,4.030,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 4 percent. elevated energy prices and hurricane-related disruptions in economic activity have temporarily depressed output and employment. however monetary policy accommodation coupled with robust underlying growth in productivity is providing ongoing support to economic activity that will likely be augmented by planned rebuilding in the hurricane-affected areas. the cumulative rise in energy and other costs has the potential to add to inflation pressures; however core inflation has been relatively low in recent months and longer-term inflation expectations remain contained. the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured. nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25-basis point increase in the discount rate to 5 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20051213.htm,12/13/05,30,4.25,4.5,1,4.9,2.28035,4.090,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 4-1/4 percent. despite elevated energy prices and hurricane-related disruptions the expansion in economic activity appears solid. core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. nevertheless possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. the committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. in any event the committee will respond to changes in economic prospects as needed to foster these objectives. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25-basis point increase in the discount rate to 5-1/4 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis minneapolis kansas city dallas and san francisco.
usfed,C:/Modeling/ETA/USA/html/20060131a.htm,1/31/06,31,4.5,4.75,1,4.7,2.14322,4.470,the federal open market committee decided today to raise its target for the federal funds rate by 25 basis points to 4-1/2 percent. although recent economic data have been uneven the expansion in economic activity appears solid. core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. nevertheless possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. the committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. in any event the committee will respond to changes in economic prospects as needed to foster these objectives. voting for the fomc monetary policy action were: alan greenspan chairman; timothy f. in a related action the board of governors unanimously approved a 25-basis-point increase in the discount rate to 5-1/2 percent. in taking this action the board approved the requests submitted by the boards of directors of the federal reserve banks of boston new york philadelphia cleveland richmond atlanta chicago st. louis kansas city dallas and san francisco.
