,filename,sentence,paragraph_index,year,date,is_table,paragraphs,num_char_sentence,total_chars
29,./Czechia/tk_01sz2010_aj.pdf, Monetary-policy  relevant inflation will approach the target from below over the monetary  policy ,6,2010,2010/02/04,0,9,99,1409
30,./Czechia/tk_01sz2010_aj.pdf," Y-o-y GDP growth will switch to positive values in,2010 ,Q1  reaching roughly ",7,2010,2010/02/04,0,9,79,1409
32,./Czechia/tk_01sz2010_aj.pdf, More  sustained upswing of domestic economy will appear only next year in  conjunction with  more pronounced recovery in external ,7,2010,2010/02/04,0,9,131,1409
33,./Czechia/tk_01sz2010_aj.pdf, Nominal FX rate is gradually appreciating over the forecast ,8,2010,2010/02/04,0,9,61,1409
34,./Czechia/tk_01sz2010_aj.pdf," Consistent with the forecast is stability of short-term interest rates close  to their current levels in the,2010  H1 and  gradual rise in rates  ",9,2010,2010/02/04,0,9,147,1409
36,./Czechia/tk_06sz2010_aj.pdf," Press conference of the  CNB Bank Board 6th Situation Report on  Economic and Monetary  Developments September,23  2010 The monetary policy decision taken  and the ratio of the votes cast  At the close of the meeting the Bank Board decided by   majority of the votes cast to leave the two-week repo rate  unchanged at ",1,2010,2010/09/23,0,7,319,2091
37,./Czechia/tk_06sz2010_aj.pdf, Six board members voted in favour of this decision and  one member voted for increasing rates by 0.25  percentage ,2,2010,2010/09/23,0,7,115,2091
38,./Czechia/tk_06sz2010_aj.pdf,"  Reasons for the decision  According to the,forecast  headline and monetary-policy  relevant inflation will be close to the 2% target at the  monetary policy ",3,2010,2010/09/23,0,7,159,2091
39,./Czechia/tk_06sz2010_aj.pdf," Consistent with the forecast is stability of market interest  rates close to their current levels,initially  followed by   gradual rise in rates as from 2011 ",4,2010,2010/09/23,0,7,159,2091
42,./Czechia/tk_06sz2010_aj.pdf, Its growth was faster compared to the forecast  (1.8% and 0.3%;respectively)   July annual growth of industrial production (5.3 %) indicates continuing  recovery in economic;activity   Signs of reversal are visible on the labour ,6,2010,2010/09/23,0,7,230,2091
43,./Czechia/tk_06sz2010_aj.pdf," Nominal wages growth  was modestly faster in Q2,(2.4%)  the drop in employment halved  (to,-1.2%)  ILO unemployment fell to,7.2%  and seasonally adjusted  registered unemployment has been falling slightly in;Q3   The August growth in industrial producer prices (1.8%) and  reversal of  the decline in agricultural producer prices to growth (8.8%) are in line with  growing commodity and food prices and gradual recovery in global economic growth.     Comparison of actual data with  the CNB forecast 10 9.2 actual data 8.8  forecast       2.4 2.4 1.8 1.9 2.0 1.9    GDP,(Q2 2010) inflation (August 2010) average wage   unemployment ,(Q2 2010),(Q3 2010):Note  for,unemployment  comparison of Augustdata with the forecast for the whole quarter  Major risks to the forecast Forecast risks are ",6,2010,2010/09/23,0,7,791,2091
44,./Czechia/tk_06sz2010_aj.pdf," Major risks on the:downside   Fiscal consolidation  Koruna exchange rate Major risk on the:upside   Future inflation developments  New information from real economy and labour market  Thank you for your attention Minutes of the today’s  meeting will be released on  October,  2010 at :http:",7,2010,2010/09/23,0,7,291,2091
61,./Czechia/tk_07sz2012_aj.pdf, Press conference of the CNB Bank Board 7th Situation Report on  Economic and Monetary  Developments  November 2012 The monetary policy decision taken  and the ratio of the votes cast  At the close of the meeting the Board decided to lower  the two-week repo rate by 0.20 percentage point to  ,1,2012,2012/11/01,0,16,293,2552
62,./Czechia/tk_07sz2012_aj.pdf, At the same time it decided to lower the Lombard rate by  0.50 percentage point to 0.25% and to lower the discount  rate by 0.05 percentage point to ,2,2012,2012/11/01,0,16,150,2552
63,./Czechia/tk_07sz2012_aj.pdf," Five members voted in favour of this,decision  and two members voted for leaving interest rates ",3,2012,2012/11/01,0,16,97,2552
64,./Czechia/tk_07sz2012_aj.pdf, The rates will remain at this level over  longer horizon  until inflation pressures increase ,4,2012,2012/11/01,0,16,94,2552
65,./Czechia/tk_07sz2012_aj.pdf,"  Reasons for the decision  Next,year  headline inflation will be slightly above the CNB’s  inflation target owing to tax,changes  whereas monetary-policy  relevant inflation will be in the lower half of the tolerance band  over the whole forecast horizon including the monetary policy  ",5,2012,2012/11/01,0,16,287,2552
66,./Czechia/tk_07sz2012_aj.pdf," Consistent with the forecast is  decline in market interest,rates   followed by  rise in rates in ",6,2012,2012/11/01,0,16,99,2552
68,./Czechia/tk_07sz2012_aj.pdf,  The message of the forecast  baseline scenario  Tax changes and gradually fading growth in import and food prices are the sources  of observed ,8,2012,2012/11/01,0,16,145,2552
70,./Czechia/tk_07sz2012_aj.pdf," Headline inflation will be slightly above the CNB’s inflation target owing to tax  changes next,year  whereas monetary-policy relevant inflation will be in the lower  half of the tolerance band over the whole forecast ",9,2012,2012/11/01,0,16,219,2552
71,./Czechia/tk_07sz2012_aj.pdf, The Czech economy will fall by 0.9% this year as  result of  marked slowdown in  external demand and subdued domestic ,10,2012,2012/11/01,0,16,119,2552
72,./Czechia/tk_07sz2012_aj.pdf," Next,year  when  gradual  recovery in external demand and restrictive impacts of domestic fiscal consolidation  will act in the opposite,direction  GDP will grow by ",10,2012,2012/11/01,0,16,166,2552
74,./Czechia/tk_07sz2012_aj.pdf, The koruna exchange rate to the euro is roughly stable over the forecast ,11,2012,2012/11/01,0,16,74,2552
75,./Czechia/tk_07sz2012_aj.pdf," Consistent with the forecast is  decline in market interest,rates  followed by  rise in  rates in ",12,2012,2012/11/01,0,16,99,2552
77,./Czechia/tk_07sz2012_aj.pdf, 13 Suspension of sales of investment  income on international reserves  Today the Board also decided to suspend the programme  of sales of part of the CNB’s investment income on  international ,14,2012,2012/11/01,0,16,194,2552
78,./Czechia/tk_07sz2012_aj.pdf, This decision was motivated by the fact that  conflict  cannot be ruled out between these operations and  monetary policy implementation in  situation where  monetary policy interest rates are technically at ,15,2012,2012/11/01,0,16,209,2552
79,./Czechia/tk_07sz2012_aj.pdf," 14 Thank you for your attention More information about the forecast  can be found at :http //www.cnb.cz/en/monetary_policy/forecast/ and in Inflation Report,IV/2012  to be published  November ",16,2012,2012/11/01,0,16,193,2552
80,./Czechia/tk_08sz2013_aj.pdf, Press conference of the  CNB Bank Board 8th Situation Report on  Economic and Monetary  Developments 17 December 2013 The monetary policy decision and  the stance of the CNB  At the close of the meeting the Board decided unanimously to leave interest rates  ,1,2013,2013/12/17,0,14,259,3250
81,./Czechia/tk_08sz2013_aj.pdf," The two-week repo rate remains at,0.05%  the discount rate at 0.05% and  the Lombard rate at ",1,2013,2013/12/17,0,14,94,3250
82,./Czechia/tk_08sz2013_aj.pdf, The Board also decided to continue using the exchange rate as an additional  instrument for easing the monetary conditions and confirmed the CNB’s commitment  to intervene on the FX market to weaken the koruna so that the exchange rate of the  koruna against the euro is kept close to CZK ,2,2013,2013/12/17,0,14,290,3250
84,./Czechia/tk_08sz2013_aj.pdf," This means that the  CNB will prevent excessive appreciation of the koruna exchange rate below CZK  27/EUR by using FX,interventions  i.e. by selling koruna and buying foreign ",3,2013,2013/12/17,0,14,177,3250
85,./Czechia/tk_08sz2013_aj.pdf," On the weaker side of the CZK 27/EUR,level  the CNB is allowing the exchange rate  to float according to supply and demand on the FX ",4,2013,2013/12/17,0,14,134,3250
86,./Czechia/tk_08sz2013_aj.pdf," More information on the CNB’s exchange rate commitment can be found on the CNB  website:(http //www.cnb.cz/en/faq/the_exchange_rate_commitment.html)  Reasons for the decision  Consistent with the baseline scenario of the forecast was  significant decline in  market interest rates well below,zero  which could not occur in ",5,2013,2013/12/17,0,14,324,3250
87,./Czechia/tk_08sz2013_aj.pdf," Following the November decision of the Bank,Board  the outlook assuming the  use of the exchange rate as an additional monetary policy instrument became the  most likely scenario of future economic ",6,2013,2013/12/17,0,14,199,3250
88,./Czechia/tk_08sz2013_aj.pdf, This alternative scenario showed that  sustained weakening of the exchange  rate close to CZK 27/EUR is needed to eliminate the threat of longer-term  deflation and accelerate the return of inflation towards the target amid zero  interest ,7,2013,2013/12/17,0,14,240,3250
90,./Czechia/tk_08sz2013_aj.pdf, The CNB continues to regard the level of the exchange rate commitment close to  CZK 27/EUR as an appropriate ,8,2013,2013/12/17,0,14,110,3250
91,./Czechia/tk_08sz2013_aj.pdf, Newly available information confirms the  message that the CNB will keep the exchange rate close to CZK 27/EUR at least  until early ,8,2013,2013/12/17,0,14,134,3250
94,./Czechia/tk_08sz2013_aj.pdf, The October data suggest  recovery in some industrial  branches amid  continuing downturn in construction and retail ,9,2013,2013/12/17,0,14,118,3250
95,./Czechia/tk_08sz2013_aj.pdf," In line with CNB,expectations  the labour market remains:weak  Total employment  recorded slower y-o-y growth and switched to  decline in q-o-q ",10,2013,2013/12/17,0,14,145,3250
96,./Czechia/tk_08sz2013_aj.pdf, The general unemployment rate (s.a.) stagnated in both y-o-y and q-o-q ,10,2013,2013/12/17,0,14,72,3250
99,./Czechia/tk_08sz2013_aj.pdf," The decline in agricultural producer prices deepened in,November  as did  the decline in import prices in ",12,2013,2013/12/17,0,14,107,3250
100,./Czechia/tk_08sz2013_aj.pdf," In line with,expectations  industrial  producer price inflation accelerated slightly in ",12,2013,2013/12/17,0,14,89,3250
101,./Czechia/tk_08sz2013_aj.pdf,"  Comparison of actual data with the alternative  scenario of the CNB forecast  8.1 8.0  exchange rate tool scenario actual data    1.2 1.1 1.2 1.3  -0.8 -1.3 -2 GDP,(Q3 2013) Inflation (November 2013) Average wage,(Q3 2013) Share of unemployed persons,(Q4 2013):Notes   in,percentages  for share of unemployed persons comparison of s.a. outcomes in October and November with  alternative scenario of forecast for 2013 ",13,2013,2013/12/17,0,14,419,3250
102,./Czechia/tk_08sz2013_aj.pdf,  Thank you for your attention Minutes of the today’s meeting will be  released on 27 December 2013 at :http:,14,2013,2013/12/17,0,14,109,3250
103,./Czechia/tk_08sz2011_aj.pdf, Press conference of the  CNB Bank Board 8th Situation Report on  Economic and Monetary  Developments 21 December 2011 The monetary policy decision taken  and the ratio of the votes cast   At the close of the meeting the Board decided  unanimously to leave the two-week repo rate unchanged  at ,1,2011,2011/12/21,0,13,294,2627
104,./Czechia/tk_08sz2011_aj.pdf,"  Reasons for the decision   According to the existing,forecast  monetary-policy relevant inflation will  be slightly below the target in 2012 and ",2,2011,2011/12/21,0,13,147,2627
105,./Czechia/tk_08sz2011_aj.pdf," Headline inflation will rise  temporarily to just below 3% in 2012 owing to  VAT,increase  but will  fall back below the target at the start of ",2,2011,2011/12/21,0,13,145,2627
106,./Czechia/tk_08sz2011_aj.pdf, Consistent with the forecast is  slight decline in market interest rates at  the start of the forecast and flat rates until late 2012/early ,3,2011,2011/12/21,0,13,141,2627
107,./Czechia/tk_08sz2011_aj.pdf, The risks to the forecast for inflation and interest rates are slightly on the  upside compared to the baseline scenario of the existing ,4,2011,2011/12/21,0,13,138,2627
108,./Czechia/tk_08sz2011_aj.pdf, The risks to the forecast for GDP and the exchange rate are tilted  towards the alternative scenario as foreign developments have moved  towards the materialisation of this ,5,2011,2011/12/21,0,13,174,2627
110,./Czechia/tk_08sz2011_aj.pdf," In line with the,forecast  the y-o-y growth  was driven solely by net ",6,2011,2011/12/21,0,13,71,2627
111,./Czechia/tk_08sz2011_aj.pdf," October industrial production (1.7%;y-o-y  0.1%,m-o-m  s.a.) indicates slowing  economic ",7,2011,2011/12/21,0,13,90,2627
113,./Czechia/tk_08sz2011_aj.pdf," The seasonally  adjusted ILO unemployment rate fell in q-o-q terms (to,6.6%  ",8,2011,2011/12/21,0,13,78,2627
114,./Czechia/tk_08sz2011_aj.pdf, The decline in  the seasonally adjusted registered unemployment rate came to  halt in ,8,2011,2011/12/21,0,13,87,2627
115,./Czechia/tk_08sz2011_aj.pdf, Y-o-y average nominal wage growth in the business sector decelerated slightly in  2011 Q3 (to;2.7%)  in the public sector it accelerated to ,9,2011,2011/12/21,0,13,141,2627
116,./Czechia/tk_08sz2011_aj.pdf," Y-o-y growth in industrial producer prices remained broadly flat at relatively high  levels (5.6%) in,November  reflecting only gradually fading effects of the  recent surge in global commodity ",10,2011,2011/12/21,0,13,195,2627
117,./Czechia/tk_08sz2011_aj.pdf,"  Comparison of actual data  with the CNB forecast 10 forecast  8.7 8.6 actual data       2.5 2.5 2.4 2.0 1.7  1.2   GDP,(Q3  2011) Inflation (November Average wage   Unemployment,(Q4  2011),(Q3 2011) 2011):Note  in,percentages  for unemployment comparison of expected outcome with forecast for the respective quarter   Major risks to the forecast The risks to the forecast are slightly on the ",11,2011,2011/12/21,0,13,394,2627
118,./Czechia/tk_08sz2011_aj.pdf, Major risks on the:upside    weaker koruna exchange rate   higher observed inflation and its near-term outlook Major risk on the:downside    current and future inflationary pressures from the domestic economy The risks towards lower GDP and weaker koruna exchange rate (as in  the alternative scenario) are ,12,2011,2011/12/21,0,13,308,2627
119,./Czechia/tk_08sz2011_aj.pdf,  Thank you for your attention Minutes of the today’s meeting and  the Graph of Risks to the Inflation  Projection (GRIP) will be released  on  January 2012 at :http:,13,2011,2011/12/21,0,13,166,2627
120,./Czechia/tk_07sz2010_aj.pdf, Press conference of the CNB Bank Board 7th Situation Report on  Economic and Monetary  Developments  November 2010 The monetary policy decision taken and the ratio of the votes cast  At the close of the meeting the Bank Board decided by  majority  vote to leave the two-week repo rate unchanged at ,1,2010,2010/11/04,0,13,299,1920
121,./Czechia/tk_07sz2010_aj.pdf, Five board members voted in favour of this decision and one  member voted for increasing rates by 0.25 percentage ,2,2010,2010/11/04,0,13,115,1920
123,./Czechia/tk_07sz2010_aj.pdf,  Reasons for the decision  Headline and monetary-policy relevant inflation will be close  to the inflation target over the monetary policy ,4,2010,2010/11/04,0,13,140,1920
124,./Czechia/tk_07sz2010_aj.pdf," Consistent with the forecast is stability of market interest  rates close to their current levels,initially  followed by   gradual rise in rates at the longer end of the ",5,2010,2010/11/04,0,13,171,1920
126,./Czechia/tk_07sz2010_aj.pdf,  The message of the forecast  Headline inflation is currently close to the inflation target and will remain at  this level in the next two ,7,2010,2010/11/04,0,13,140,1920
127,./Czechia/tk_07sz2010_aj.pdf, Monetary-policy relevant inflation will continuously grow over the forecast  horizon and will be approaching the target in mid ,8,2010,2010/11/04,0,13,128,1920
128,./Czechia/tk_07sz2010_aj.pdf," This year the economy has recovered from the,recession  but the economic growth will slow down next year due mainly to fiscal restriction and  reappearance of more robust economic recovery can be expected in ",9,2010,2010/11/04,0,13,209,1920
129,./Czechia/tk_07sz2010_aj.pdf, The nominal exchange rate is gradually appreciating over the forecast  ,10,2010,2010/11/04,0,13,72,1920
130,./Czechia/tk_07sz2010_aj.pdf," Consistent with the forecast is stability of market interest rates close to their  current levels,initially  followed by  gradual rise in rates at the longer end of  the ",11,2010,2010/11/04,0,13,171,1920
132,./Czechia/tk_07sz2010_aj.pdf," Mild risk on the up:side   higher world commodity and domestic agricultural producer  prices Mild risk on the down:side   higher-than-expected anti-inflationary effects of fiscal  consolidation in the world 13 Thank you for your attention More information about the  forecast can be found at :http //www.cnb.cz/en/monetary_policy/forecast/ and in Inflation Report,IV/2010  to  be published 12 November ",13,2010,2010/11/04,0,13,403,1920
133,./Czechia/tk_03sz2009_aj.pdf," Press Conference of the CNB Bank Board 3rd Situation Report on Economic  and Monetary Developments May,  2009 The  monetary  policy  decision  taken   and  the  ratio  of  the  votes  cast At the close of the meeting the Board decided by   majority vote to decrease the CNB two-week repo  rate by 0.25 percentage point to 1.50,   effective  1 May ",1,2004,2004/05/11,0,8,348,1738
134,./Czechia/tk_03sz2009_aj.pdf," At the same time it decided to  decrease the discount rate and Lombard rate by the  same,amount  to 0.50  and 2.50  ",1,2004,2004/05/11,0,8,117,1738
135,./Czechia/tk_03sz2009_aj.pdf," Five members voted in favour of this,decision  and  two members voted for leaving interest rates  ",2,2004,2004/05/11,0,8,99,1738
136,./Czechia/tk_03sz2009_aj.pdf, Message  of  the  forecast  Headline (and monetary-policy relevant) inflation will  continue declining this year but will remain in positive  ,2,2004,2004/05/11,0,8,143,1738
137,./Czechia/tk_03sz2009_aj.pdf, Next year inflation will again start rising and will  approach the 2% inflation target at the end of ,2,2004,2004/05/11,0,8,102,1738
138,./Czechia/tk_03sz2009_aj.pdf," The domestic economic activity will decline this year by, 4%  but the economy will return to modest growth in ",3,2004,2004/05/11,0,8,111,1738
139,./Czechia/tk_03sz2009_aj.pdf, The nominal exchange rate will initially correct its losses from beginning of the year and afterwards will be broadly ,4,2004,2004/05/11,0,8,119,1738
140,./Czechia/tk_03sz2009_aj.pdf, Consistent with the forecast is  decline in market interest  rates this year followed by  modest rise in ,5,2004,2004/05/11,0,8,106,1738
142,./Czechia/tk_03sz2009_aj.pdf," Compared to the previous,projection  the forecast for both headline  and monetary-policy relevant inflation is higher in 2009,but  on the ,contrary  lower in ",6,2004,2004/05/11,0,8,159,1738
143,./Czechia/tk_03sz2009_aj.pdf," Compared to the previous,forecast  the interest rate path lies lower  over the forecasted ",7,2004,2004/05/11,0,8,91,1738
144,./Czechia/tk_03sz2009_aj.pdf, The CZK/EUR exchange rate outlook is weaker than in the previous  ,8,2004,2004/05/11,0,8,67,1738
145,./Czechia/tk_03sz2009_aj.pdf," Major  risks  of  the  forecast Forecast risks are,balanced   high degree of uncertainty persists Inflation risks on the down:side   deeper and longer-lasting depression in economies abroad Inflation risks on the up:side   smaller drop in growth of nominal wages in domestic ",8,2004,2004/05/11,0,8,276,1738
163,./Czechia/tk_06sz2012_aj.pdf, Press conference of the  CNB Bank Board 6th Situation Report on  Economic and Monetary  Developments 27 September 2012 The monetary policy decision taken  and the ratio of the votes cast  At the close of the meeting the Board decided to lower  the two-week repo rate by 0.25 percentage point to  ,1,2012,2012/09/27,0,14,297,2333
164,./Czechia/tk_06sz2012_aj.pdf, At the same time it decided to cut the Lombard rate by  0.75 percentage point to 0.75% and reduce the discount  rate by 0.15 percentage point to ,2,2012,2012/09/27,0,14,146,2333
166,./Czechia/tk_06sz2012_aj.pdf," Five members voted in favour of this,decision  and two  members voted for leaving interest rates ",4,2012,2012/09/27,0,14,98,2333
167,./Czechia/tk_06sz2012_aj.pdf,"  Reasons for the decision  At the monetary policy,horizon  headline inflation will be slightly  above the CNB’s inflation target due to tax,changes  monetary-policy  relevant inflation will be in the lower half of the tolerance ",5,2012,2012/09/27,0,14,229,2333
168,./Czechia/tk_06sz2012_aj.pdf," Consistent with the forecast is  decline in market interest rates in the  next few,quarters  followed by  rise in rates in ",6,2012,2012/09/27,0,14,124,2333
171,./Czechia/tk_06sz2012_aj.pdf," Developments in industrial,production  construction output and retail sales  in July indicate persistent weakness in economic ",8,2012,2012/09/27,0,14,127,2333
172,./Czechia/tk_06sz2012_aj.pdf," The labour market stagnation:continues    Total employment saw only slight y-o-y growth in 2012,Q2  the s.a. general  unemployment rate increased moderately compared to the previous,quarter  and the ",9,2012,2012/09/27,0,14,200,2333
173,./Czechia/tk_06sz2012_aj.pdf, registered unemployment rate has risen negligibly in 2012 Q3 so ,10,2012,2012/09/27,0,14,65,2333
174,./Czechia/tk_06sz2012_aj.pdf, Y-o-y growth in the average nominal wage decelerated markedly in 2012 ,11,2012,2012/09/27,0,14,71,2333
175,./Czechia/tk_06sz2012_aj.pdf, The inflationary effects of external cost-push factors strengthened  somewhat due to higher oil ,12,2012,2012/09/27,0,14,97,2333
176,./Czechia/tk_06sz2012_aj.pdf,"  Comparison of actual data  with the CNB forecast 10 forecast 8.6 8.4 actual data    3.4 3.3 2.6 2.3   -0.4 -1.0 -2 GDP,(Q2  2012) Inflation (August 2012) Average wage   Unemployment,(Q3 ,(Q2 2012) 2012):Note  in,percentages  for unemployment comparison of expected outcome with forecast for the respective quarter   Major risks to the forecast The overall risks to the forecast are on the ",13,2012,2012/09/27,0,14,391,2333
177,./Czechia/tk_06sz2012_aj.pdf, Risks on the:downside   stronger koruna exchange rate  weaker domestic economic activity and slower wage growth  domestic price developments Risk on the:upside   higher world prices of energy and agricultural commodities  Thank you for your attention Minutes of the today’s meeting and  the Graph of Risks to the Inflation  Projection (GRIP) will be released  on  October 2012 at :http:,14,2012,2012/09/27,0,14,387,2333
180,./Czechia/tk_01sz2012_aj.pdf, Press conference of the  CNB Bank Board 1st Situation Report on  Economic and Monetary  Developments  February 2012 The monetary policy decision taken  and the ratio of the votes cast   At the close of the meeting the Board decided  unanimously to leave the two-week repo rate unchanged  at ,1,2012,2012/02/02,0,14,292,2095
182,./Czechia/tk_01sz2012_aj.pdf, Vice-Governor Mojmír Hampl did not attend the meeting  and did not take part in the ,3,2012,2012/02/02,0,14,85,2095
183,./Czechia/tk_01sz2012_aj.pdf,  Reasons for the decision   Monetary-policy relevant inflation will be close to the target over  the entire forecast ,4,2012,2012/02/02,0,14,118,2095
184,./Czechia/tk_01sz2012_aj.pdf," Headline inflation will rise  temporarily to just above 3% in 2012 owing to  VAT,increase   but will fall back below the target at the start of ",4,2012,2012/02/02,0,14,145,2095
185,./Czechia/tk_01sz2012_aj.pdf, Consistent with the forecast is stability of market interest rates  in the near future and  modest decline ,5,2012,2012/02/02,0,14,108,2095
187,./Czechia/tk_01sz2012_aj.pdf,  The message of the forecast  baseline scenario   Domestic factors (weak domestic demand and moderate wage growth) are currently  curbing ,7,2012,2012/02/02,0,14,139,2095
188,./Czechia/tk_01sz2012_aj.pdf, Food prices and the gradual pass-through of the depreciated  exchange rate to prices are the main sources of ,7,2012,2012/02/02,0,14,110,2095
189,./Czechia/tk_01sz2012_aj.pdf," Headline inflation will rise temporarily to just above 3% in 2012 owing to  VAT ,increase  but will fall back below the target at the start of ",8,2012,2012/02/02,0,14,144,2095
190,./Czechia/tk_01sz2012_aj.pdf, Monetary-policy relevant inflation will be close to the target over the entire forecast  ,9,2012,2012/02/02,0,14,90,2095
191,./Czechia/tk_01sz2012_aj.pdf, The Czech economy will stagnate this year as  result of marked slowdown in  external demand and continuing domestic fiscal ,10,2012,2012/02/02,0,14,124,2095
192,./Czechia/tk_01sz2012_aj.pdf," Next,year  in  connection with an external demand,recovery  GDP growth will reach ",10,2012,2012/02/02,0,14,83,2095
193,./Czechia/tk_01sz2012_aj.pdf," In the,forecast  the nominal exchange rate is gradually appreciating from its currently  weakened ",11,2012,2012/02/02,0,14,99,2095
194,./Czechia/tk_01sz2012_aj.pdf, Consistent with the forecast is stability of market interest rates in the near future and   modest decline ,12,2012,2012/02/02,0,14,108,2095
196,./Czechia/tk_01sz2012_aj.pdf," Downside:risks    additional fiscal consolidation measures Upside:risks    faster growth in food prices Two-sided:risks    economic developments abroad   koruna exchange rate 13 Thank you for your attention More information about the forecast  can be found at :http //www.cnb.cz/en/monetary_policy/forecast/ and in Inflation Report,I/2012   to be published 10 February ",14,2012,2012/02/02,0,14,370,2095
197,./Czechia/TK_10SZ2007_AJ.pdf," Press Conference of the CNB Bank Board 10th Situation Report on Economic  and Monetary Developments 25 October 2007 The  monetary  policy  decision  taken   and  the  ratio  of  the  votes  cast After discussing the situation,report  the Board decided by   majority vote to leave the CNB two-week repo rate  unchanged at ",1,2007,2007/10/25,0,5,322,1483
198,./Czechia/TK_10SZ2007_AJ.pdf, Five members voted in favour of this  decision and two members voted for increasing rates by 0.25  of  percentage ,1,2007,2007/10/25,0,5,115,1483
200,./Czechia/TK_10SZ2007_AJ.pdf," Comparison  with  the  July forecast  Compared to the July,forecast  the rate of growth is lower in ",1,2007,2007/10/25,0,5,101,1483
202,./Czechia/TK_10SZ2007_AJ.pdf," Unlike in the July,forecast  the effect of the real economy will be  slightly anti-inflationary in ",2,2007,2007/10/25,0,5,100,1483
203,./Czechia/TK_10SZ2007_AJ.pdf," At the end of,2009 ,however  it will be  modestly inflationary ",2,2007,2007/10/25,0,5,64,1483
204,./Czechia/TK_10SZ2007_AJ.pdf," Compared to the July,forecast  inflation is substantially higher in 2008  due to one-off factors  primarily increases in administered prices and  tax ",3,2007,2007/10/25,0,5,151,1483
205,./Czechia/TK_10SZ2007_AJ.pdf," At the monetary policy horizon (2008 4Q  2009,Q1)   inflation lies initially above the upper boundary of the tolerance band  for the inflation,target  falling into the upper part of the band ",3,2007,2007/10/25,0,5,192,1483
206,./Czechia/TK_10SZ2007_AJ.pdf," Monetary-policy relevant inflation (i.e. inflation adjusted for the first- round effects of changes in indirect taxes),is  on the,contrary  below the  July forecast and slightly above the inflation ",4,2007,2007/10/25,0,5,199,1483
