,filename,sentence,paragraph_index,paragraphs,num_char_sentence,total_chars
11,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"Press Conference of the CNB Bank Board 1st Situation Report on Economic  and Monetary Developments 7 February 2008 TThhee  mmoonneettaarryy  ppoolliiccyy  ddeecciissiioonn  ttaakkeenn   aanndd  tthhee  rraattiioo  ooff  tthhee  vvootteess  ccaasstt At the close of the meeting the Board decided by a  majority vote to increase the CNB two-week repo  rate by 0.25 percentage point to 3.75%, effective 8 February 2008.",1.0,10.0,416.0,5980.0
12,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"At the same time it decided to  increase the discount rate and Lombard rate by the  same amount, to 2.75% and 4.75% respectively.",1.0,10.0,129.0,5980.0
13,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"Five members voted in favour of this decision, and  two members voted for leaving interest rates  unchanged.",2.0,10.0,108.0,5980.0
14,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,CChhaannggeess  iinn  tthhee  ccoonndduucctt  aanndd   ccoommmmuunniiccaattiioonn  ooff  mmoonneettaarryy  ppoolliiccyy • These changes are effective since the beginning of 2008.,2.0,10.0,178.0,5980.0
15,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• The main aim of these changes is to further increase the  transparency, clarity and predictability of monetary policy.",3.0,10.0,120.0,5980.0
16,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• The particular changes: - disclosure of the forecast-consistent interest rate path in   numerical form, as a fan chart; - publication of the votes cast by the board members on interest rate changes by name in the minutes - reduction in the number of the regular monetary policy  meetings to eight meetings a year ------------------------------------------ - fan charts used also for other variables‘ forecasts TThhee  eexxtteerrnnaall  eennvviirroonnmmeenntt Comparison between the actual and October forecast assumptions 2008 2009   Effective indicator of consumer prices in the euro area    10.SR 2007 1.7 1.8   (percentages) 1.SR 2008 2,2 1.8   Effective indicator of producer prices in the euro area  10.SR 2007 2.1 2.0   (percentages) 1.SR 2008 2.4 1.8   Effective indicator of GDP in the euro area (percentages) 10.SR 2007 2.3 2.0 1.SR 2008 2.0 2.0   Price of Brent crude oil (USD/barrel) 10.SR 2007 73.2 71.6 1.SR 2008 92.1 88.7   Price of petrol (USD/t) 10.SR 2007 675.5 685.0 1.SR 2008 822.6 826.4   USD/EUR exchange rate (level) 10.SR 2007 1.4 1.3 1.SR 2008 1.5 1.4   1Y EURIBOR  (percentages) 10.SR 2007 4.1 4.4 1.SR 2008 3.9 4.0 TThhee  ffoorreeccaasstt  ffoorr  hheeaaddlliinnee  iinnffllaattiioonn 8 Monetary  policy 7 horizon   6 5 4 Inflation target 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  confidence interval TThhee  ffoorreeccaasstt  ffoorr  mmoonneettaarryy--ppoolliiccyy   rreelleevvaanntt  iinnffllaattiioonn   8 Monetary  7 policy horizon   6 5 4 Inflation target 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  confidence interval TThhee  ffoorreeccaasstt  ffoorr  GGDDPP 9 8 7 6 5 4 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  confidence interval TThhee  ffoorreeccaasstt  ffoorr  iinntteerreesstt rraatteess ((33MM  PPRRIIBBOORR)) 7 6 5 4 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  c onf idenc e interv al Consistent with the macroeconomic forecast and its assumptions is  a modest rise in nominal interest rates initially, followed by a decline still  in 2008.",4.0,10.0,2145.0,5980.0
17,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"In 2009, nominal interest rates are expected to be broadly flat.",4.0,10.0,64.0,5980.0
18,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"FFoorreeccaasstt  iinn  nnuummbbeerrss   Forecast for headline inflation in:   2008, Q4 (+4 quarters)  5.3 %   2009, Q2 (+6 quarters) 2.4 %    Forecast for monetary-policy relevant inflation in:   2008, Q4 (+4 quarters)           3.4 %   2009, Q2 (+6 quarters) 2.4 %      Forecast for GDP growth in:   2007                                                 6.1 %   2008                                               4.1 %   2009                                                 4.6 %   Forecast for nominal interest rates (3M PRIBOR) in:   2008, Q4 (+4 quarters)           3.2 %   2009, Q2 (+6 quarters) 2.9 %  CCoommppaarriissoonn  wwiitthh  tthhee  OOccttoobbeerr  ffoorreeccaasstt • Spill over of shocks among individual price segments has been reduced in the core projection  model.",4.0,10.0,783.0,5980.0
19,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"Also, share of forward-looking inflation expectations and monetary policy flexibility  have been increased.",4.0,10.0,107.0,5980.0
20,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• Compared to the October forecast, the rate of economic growth is lower in 2008 and 2009.",5.0,10.0,90.0,5980.0
21,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• The effect of the real economy will be anti-inflationary since 2008, Q2. In comparison to the  October forecast the inflationary pressures from real economy are lower over the forecasted  horizon.",6.0,10.0,198.0,5980.0
22,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• Compared to the October forecast, the forecast for headline inflation is much higher in 2008,  but lower from the start of 2009.",7.0,10.0,130.0,5980.0
23,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• Monetary-policy relevant inflation is also higher compared to the October forecast for most  of 2008, however at the monetary policy horizon it drops below the October forecast.",8.0,10.0,179.0,5980.0
24,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"• Forecast-consistent interest rate path is almost unchanged for the current quarter compared  to the October forecast, but lower in longer-term outlook.",9.0,10.0,153.0,5980.0
25,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"MMaajjoorr  uunncceerrttaaiinnttiieess  ooff  tthhee  ffoorreeccaasstt Uncertainties are larger than usual, risks are on both sides.",9.0,10.0,132.0,5980.0
26,C:/Modeling/ETA/Czechia/TK_01SZ2008_EN.pdf,"Major risks and uncertainties: - effects of cost-push shocks on prices in other segments and inflation  expectations (alternative forecast scenario prepared) - koruna exchange rate developments - how fast will high food prices growth fade away - economic developments in U.S. and main trading partners countries  TThhee  aalltteerrnnaattiivvee  ffoorreeccaasstt  ffoorr  hheeaaddlliinnee   iinnffllaattiioonn 8 Monetary  policy 7 horizon   6 5 4 Inflation target 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  confidence interval Basic scenario A lternative scenario TThhee  aalltteerrnnaattiivvee  ffoorreeccaasstt  ffoorr  iinntteerreesstt   rraatteess  ((33MM  PPRRIIBBOORR)) 7 6 5 4 3 2 1 0 I/06 II III IV I/07 II III IV I/08  II III IV I/09 II III 90% 70% 50% 30%  c onf idenc e interv al B as ic  s c enario A lternativ e s c enario Consistent with the alternative inflation forecast is a gradual rise in  interest rates during 2008 followed by a slow decline, in response to the  higher inflation outlook.",10.0,10.0,1048.0,5980.0
27,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"Press Conference of the CNB Bank Board 1st Situation Report on Economic  and Monetary Developments 5 February 2009 TThhee  mmoonneettaarryy  ppoolliiccyy  ddeecciissiioonn  ttaakkeenn   aanndd  tthhee  rraattiioo  ooff  tthhee  vvootteess  ccaasstt At the close of the meeting the Board decided by a  majority vote to decrease the CNB two-week repo  rate by 0.50 percentage point to 1.75 %, effective     6 February 2009.",1.0,14.0,421.0,5274.0
28,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"At the same time it decided to  decrease the discount rate and Lombard rate by the  same amount, to 0.75 % and 2.75 % respectively.",1.0,14.0,131.0,5274.0
29,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"Four members voted in favour of this decision, one  member voted for decreasing rates by 0.25  percentage point, and one member voted for  decreasing rates by 0.75 percentage point.",2.0,14.0,181.0,5274.0
30,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,MMeessssaaggee  ooff  tthhee  ffoorreeccaasstt • Headline (and monetary-policy relevant) inflation will drop this  year towards zero values but it will start rising at the end of the year  and approach the 2% inflation target in the first half of 2010.,2.0,14.0,252.0,5274.0
31,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• The domestic economic growth will sharply decelerate, forecasted growth is zero or slightly negative this year and around 1% in the  next year.",3.0,14.0,145.0,5274.0
32,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,• The nominal exchange rate will initially correct its depreciation  observed at the beginning of 2009 and will be broadly stable  thereafter.,4.0,14.0,142.0,5274.0
33,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,• Consistent with the forecast is a decline in market interest rates.,5.0,14.0,69.0,5274.0
34,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,TThhee  eexxtteerrnnaall  eennvviirroonnmmeenntt Comparison between the actual and previous forecast assumptions 2009 2010   Effective indicator of consumer prices in the euro area    1.SR 2009 1.0 1.6   (percentages) 7.SR 2008 2.2 2.0   Effective indicator of producer prices in the euro area  1.SR 2009 0.9 1.9   (percentages) 7.SR 2008 3.1 3.1   Effective indicator of GDP in the euro area (percentages) 1.SR 2009 -1.5 0.8 7.SR 2008 0.5 1.4   Price of Brent crude oil (USD/barrel) 1.SR 2009 51.4 61.8 7.SR 2008 85.7 90.8   USD/EUR exchange rate (level) 1.SR 2009 1.33 1.33 7.SR 2008 1.35 1.31   3M EURIBOR (percentages) 1.SR 2009 1.8 2.5 7.SR 2008 2.9 3.3 TThhee  ffoorreeccaasstt  ffoorr  hheeaaddlliinnee  iinnffllaattiioonn 8 Monetary  policy 6 horizon   4 Inflation target 2 0 -2 -4 I/07 II III IV I/08  II III IV I/09 II III IV I/10 II III 90% 70% 50% 30% confidence interval TThhee  ffoorreeccaasstt  ffoorr  mmoonneettaarryy--ppoolliiccyy   rreelleevvaanntt  iinnffllaattiioonn   8 Monetary  policy 6 horizon   4 Inflation target 2 0 -2 -4 I/07 II III IV I/08  II III IV I/09 II III IV I/10 II III 90% 70% 50% 30% confidence interval TThhee  ffoorreeccaasstt  ffoorr  GGDDPP 8 6 4 2 0 -2 -4 I/07 II III IV I/08  II III IV I/09 II III IV I/10 II III 90% 70% 50% 30% confidence interval TThhee  ffoorreeccaasstt  ffoorr  iinntteerreesstt rraatteess ((33MM  PPRRIIBBOORR)) 6 5 4 3 2 1 0 I/07 II III IV I/08  II III IV I/09 II III IV I/10 II III 90% 70% 50% 30% confidence interval EExxcchhaannggee  rraattee  ffoorreeccaasstt  ddiisscclloossuurree • In autumn 2008 the Bank Board decided that the CNB will  publish its forecast for the koruna-euro nominal exchange rate in  numerical form starting from the 1st Situation Report 2009.,5.0,14.0,1740.0,5274.0
35,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• The main aim of this change is to further increase the  transparency, clarity and predictability of monetary policy.",6.0,14.0,118.0,5274.0
36,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• Identically to the forecast for other key variables, the exchange  rate forecast is published as a fan chart.",7.0,14.0,111.0,5274.0
37,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,• The published trajectory is conditional on the assumptions of the  forecast and on information available at the time it was prepared.,8.0,14.0,135.0,5274.0
38,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,• It can not be considered a commitment or preferred trajectory  from the CNB's point of view.,9.0,14.0,94.0,5274.0
39,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"TThhee  ffoorreeccaasstt  ffoorr  eexxcchhaannggee  rraattee ((CCZZKK//EEUURR,,  qquuaarrtteerrllyy  aavveerraaggeess)) 30 28 26 24 22 20 I/07 II III IV I/08  II III IV I/09 II III IV I/10 II III 90% 70% 50% 30% confidence interval FFoorreeccaasstt  iinn  nnuummbbeerrss   Headline inflation in:   2010, Q1                                              1.4 %   2010, Q2 2.1 %    Monetary-policy relevant inflation in:   2010, Q1   1.4 %   2010, Q2 2.1 %      GDP growth in:   2008 3.9 %   2009                                                           -0.3 %   2010                                                            0.9 %   Nominal interest rates (3M PRIBOR) in:   2010, Q1 2.9 %   2010, Q2 2.6 %    Exchange rates (CZK/EUR) in:   2009                                25.8 CZK/EUR   2010                                       25.6 CZK/EUR CCoommppaarriissoonn  wwiitthh  tthhee  pprreevviioouuss   ffoorreeccaasstt • Compared to the previous forecast, the economic growth is markedly  lower due to foreign economic developments.",9.0,14.0,1035.0,5274.0
40,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• Forecast of exports, investment and household consumption is  revised downwards accordingly.",10.0,14.0,94.0,5274.0
41,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• Compared to the previous forecast, the forecast for both headline and  monetary-policy relevant inflation is markedly lower in 2009  whereas in 2010 is roughly the same.",11.0,14.0,171.0,5274.0
42,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,"• Compared to the previous forecast, the interest rate path lies slightly  higher in 2009 but, on the contrary, lower in 2010.",12.0,14.0,126.0,5274.0
43,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,• The CZK/EUR exchange rate forecast is substantially weaker than in  the previous forecast.,13.0,14.0,92.0,5274.0
44,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,MMaajjoorr  uunncceerrttaaiinnttiieess  ooff  tthhee  ffoorreeccaasstt Risks are pronounced.,13.0,14.0,92.0,5274.0
45,C:/Modeling/ETA/Czechia/tk_01sz2009_aj.pdf,Major risks and uncertainties: - deeper and longer-lasting decline in economic activity  abroad  - depreciated exchange rate ,14.0,14.0,125.0,5274.0
46,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,"Press conference of the CNB Bank  Board 1st Situation Report on  Economic and Monetary  Developments February 4, 2010 The monetary policy decision taken and the  ratio of the votes cast • Six out of seven Bank Board members atttended the meeting (one absent due to illness).",1.0,10.0,274.0,3918.0
47,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,• At the close of the meeting the Bank Board decided unanimously to leave the two-week repo rate unchanged at 1%.,2.0,10.0,113.0,3918.0
48,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,2 Reasons for the decision • Headline and monetary-policy relevant inflation will be  close to the 2% target at the monetary policy horizon.,3.0,10.0,140.0,3918.0
49,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,• Consistent with the forecast is stability of short-term  interest rates close to their current levels in the first half  of this year and a gradual rise in rates thereafter.,4.0,10.0,175.0,3918.0
50,,,,,,
51,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,"3 The tone of the forecast • Headline inflation will rise during 2010, getting just above the CNB’s  target of 2% in the H2 as a result of tax changes.",6.0,10.0,151.0,3918.0
52,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,Monetary-policy  relevant inflation will approach the target from below over the monetary  policy horizon.,6.0,10.0,106.0,3918.0
53,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,"• Y-o-y GDP growth will switch to positive values in 2010, Q1, reaching roughly 2%.",7.0,10.0,83.0,3918.0
54,,,,,,
55,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,More  sustained upswing of domestic economy will appear only next year in  conjunction with a more pronounced recovery in external demand.,7.0,10.0,138.0,3918.0
56,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,• Nominal FX rate is gradually appreciating over the forecast horizon.,8.0,10.0,70.0,3918.0
57,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,"• Consistent with the forecast is stability of short-term interest rates close  to their current levels in the 2010, H1 and a gradual rise in rates  thereafter.",9.0,10.0,160.0,3918.0
58,C:/Modeling/ETA/Czechia/tk_01sz2010_aj.pdf,"4 The external environment (i) Comparison between the new and previous forecasts 4 3 2.7 2.3 2 1.7 1.8 1.8 1.5 1.9 1.7 1.5 1.2 1.2 1.1 1.1 1 0.7 0.7 0.6 0.8 0.8 0 -1 -2 -3 new forecast -4 previous forecast -4.0 -4.3 -4.4 -5 -4.6 2009 2010 2011 2009 2010 2011 2009 2010 2011 2010 2011 Consumer prices GDP 3M EURIBOR Producer pricees 5 The external environment (ii) Comparison between the new and previous forecasts 100 new forecast 1,50 new forecast previous forecast previous forecast 1,45 88,9 1,44 90 1,45 83,6 1,42 1,41 80,5 80 76,1 1,40 70 1,35 60 1,30 50 1,25 40 1,20 2010 2011 2010 2011 Brent oil (USD/barel) USD/EUR  6 The forecast for headline inflation 8 Monetary  policy horizon   6 4 Inflation target 2 0 -2 I/08  II III IV I/09 II III IV I/10 II III IV I/11 II III 90% 70% 50% 30% confidence interval 7 The forecast for monetary-policy  relevant inflation 8 Monetary  policy horizon   6 4 Inflation target 2 0 -2 I/08  II III IV I/09 II III IV I/10 II III IV I/11 II III 90% 70% 50% 30% confidence interval 8 The forecast for GDP 8 6 4 2 0 -2 -4 -6 I/08  II III IV I/09 II III IV I/10 II III IV I/11 II III 90% 70% 50% 30% confidence interval 9 The forecast for interest rates (3M  PRIBOR) 6 5 4 3 2 1 0 I/08  II III IV I/09 II III IV I/10 II III IV I/11 II III 90% 70% 50% 30% confidence interval 10 The forecast for exchange rate  CZK/EUR (quarterly averages) 30 28 26 24 22 20 I/08  II III IV I/09 II III IV I/10 II III IV I/11 II III 90% 70% 50% 30% confidence interval 11 Forecast in figures 3 28 2,5 2,0 2,1 2,1 25,5 25,2 2 25 1,4 1,4 1 22 0 19 -1 16 -2 13 -3 10 -4 7 -3,9 -5 4 I/2011 II/2011 2009 2010 2011 2010 2011 2010 2011 3M PRIBOR CZK/EUR (right axis) Consumer prices GDP 12 Comparison with the previous  forecast 3 28 2,5 2,4 2,0 2,2 2,1 2,3 2,1 2,2 25,5 25,7 25,2 25,6 2 1,6 25 1,4 1,4 1,4 1 22 0 19 -1 16 -2 13 -3 10 -4 7 new forecast -3,9 previous forecast -4,4 -5 4 I/2011 II/2011 2009 2010 2011 2010 2011 2010 2011 3M PRIBOR CZK/EUR (right axis) Consumer prices GDP 13 Major risks to the forecast Forecast risks are seen as balanced overall  • No marked asymmetric risks have been identified • Uncertainty going in both directions exists regarding  nominal wages developments 14 Thank you for your attention More information about the forecast can  be found at  http://www.cnb.cz/en/monetary_policy/forecast/ and in Inflation Report I/2010, to be published 12th February, 2010.",10.0,10.0,2408.0,3918.0
59,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,Press conference of the CNB Bank Board 1st Situation Report on  Economic and Monetary  Developments 3 February 2011 The monetary policy decision taken and the ratio of the votes cast • At the close of the meeting the Bank Board decided by a  majority vote to leave the two-week repo rate unchanged  at 0.75%.,1.0,12.0,308.0,4923.0
60,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"• Four board members voted in favour of this decision, and  three members voted for increasing rates by 0.25  percentage point.",2.0,12.0,127.0,4923.0
61,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,2 Reasons for the decision  • Headline and monetary-policy relevant inflation will be close  to the inflation target over the monetary policy horizon.,3.0,12.0,150.0,4923.0
62,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"• Consistent with the forecast is stability of market interest  rates close to their current levels initially, followed by a  gradual rise in rates as from the end of 2011.",4.0,12.0,172.0,4923.0
63,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"• Risks to the forecast are significant in both directions,  associated with external developments, and balanced  overall.",5.0,12.0,122.0,4923.0
64,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,3 The message of the forecast • Headline inflation is currently close to the inflation target and will remain  at this level over the entire horizon.,6.0,12.0,149.0,4923.0
65,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,• Monetary-policy relevant inflation will grow at the beginning of this year;  thereafter it will be close to the target together with headline inflation.,7.0,12.0,154.0,4923.0
66,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"• Economic growth will slow this year due to fiscal restriction, fading  investment in solar power stations and re-stocking, and a slowdown in  external demand.",8.0,12.0,160.0,4923.0
67,,,,,,
68,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,• The nominal exchange rate is gradually appreciating over the forecast  horizon.,9.0,12.0,81.0,4923.0
69,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"• Consistent with the forecast is stability of market interest rates close to  their current levels initially, followed by a gradual rise in rates as from  the end of 2011.",10.0,12.0,172.0,4923.0
70,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"4 The external environment (i) Comparison between the assumptions of the new and previous  forecasts for the effective euro area 4 previous forecast new forecast 2.9 3 2.8 2.6 2.5 2.5 2.3 2.2 2.2 2.1 2.0 2.0 1.9 1.9 2 1.7 1.7 1.4 1.2 1.2 1 0 2011 2012 2011 2012 2010 2011 2012 2011 2012 Consumer prices Producer prices GDP 3M EURIBOR 5 The external environment (ii) Comparison between assumptions of the new and previous forecasts 110 previous forecast 1,40 previous forecast new forecast new forecast 100 95,4 96,0 1,35 1,32 1,32 1,32 89,1 90 86,4 1,30 1,30 80 1,25 70 1,20 60 1,15 50 40 1,10 2011 2012 2011 2012 Brent oil (USD/barrel) USD/EUR  6 The forecast for headline inflation 8 Monetary  policy horizon   6 4 Inflation target 2 0 -2 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III 90% 70% 50% 30% confidence interval 7 The forecast for monetary-policy  relevant inflation 8 Monetary  policy horizon   6 4 Inflation target 2 0 -2 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III 90% 70% 50% 30% confidence interval 8 The forecast for GDP 10 8 6 4 2 0 -2 -4 -6 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III 90% 70% 50% 30% confidence interval 9 The forecast for interest rates (3M PRIBOR) 5 4 3 2 1 0 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III 90% 70% 50% 30% confidence interval 10 The forecast for the CZK/EUR exchange rate  (quarterly averages) 28 26 24 22 20 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III 90% 70% 50% 30% confidence interval 11 Comparison with the  previous forecast 4 26 previous forecast new forecast 3.0 24.3 3 24.2 2.5 23.8 23.7 24 2.4 2.3 2.1 2.0 2.0 2.0 1.9 2 1.8 1.6 1.3 1.3 1.2 22 1 0 20 I/2012 II/2012 2010 2011 2012 2011 2012 2011 2012 Consumer prices GDP 3M PRIBOR CZK/EUR (right axis) 12 Major risks to the forecast Forecast risks are significant in both directions  and are balanced overall.",11.0,12.0,1883.0,4923.0
71,C:/Modeling/ETA/Czechia/tk_01sz2011_aj.pdf,"Risks on the upside: • higher commodity prices (alternative scenario) Risks on the downside: • recent appreciation of the koruna exchange rate  13 Alternative scenarios of the forecast Headline inflation 3M PRIBOR 3 3 2 2 1 1 0 0 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III IV I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III IV Alternative scenario – ""escalation of euro area debt crisis"" Alternative scenario – ""escalation of euro area debt crisis"" Alternative scenario – ""German engine"" Alternative scenario – ""German engine"" Alternative scenario – higher commodity prices Alternative scenario – higher commodity prices Baseline scenario Baseline scenario 10 28 CZK/EUR exchange rate GDP 27 5 26 25 0 24 23 22 -5 I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III IV I/09 II III IV I/10 II III IV I/11 II III IV I/12 II III IV Alternative scenario – ""escalation of euro area debt crisis"" Alternative scenario – ""escalation of euro area debt crisis"" Alternative scenario – ""German engine"" Alternative scenario – ""German engine"" Alternative scenario – higher commodity prices Alternative scenario – higher commodity prices Baseline scenario Baseline scenario 14 Thank you for your attention More information about the  forecast can be found at  http://www.cnb.cz/en/monetary_policy/forecast/ and in Inflation Report I/2011, to be published 11 February 2011.",12.0,12.0,1385.0,4923.0
72,C:/Modeling/ETA/Czechia/tk_01sz2012_aj.pdf,Press conference of the  CNB Bank Board 1st Situation Report on  Economic and Monetary  Developments 2 February 2012 The monetary policy decision taken  and the ratio of the votes cast •  At the close of the meeting the Board decided  unanimously to leave the two-week repo rate unchanged  at 0.75%.,1.0,14.0,299.0,4108.0
73,,,,,,
74,C:/Modeling/ETA/Czechia/tk_01sz2012_aj.pdf,Vice-Governor Mojmír Hampl did not attend the meeting  and did not take part in the vote.,3.0,14.0,89.0,4108.0
